NBRHOOD,LANDVAL,IMPROVAL,SALEPRIC,SALTOAPR
A,30000,64831,118500,1.25
A,30000,50765,93900,1.16
A,46651,18573,191500,1.16
A,45990,91402,184000,1.34
A,42394,98181,168000,1.20
A,47751,3351,169000,1.12
A,63596,2182,208500,1.26
A,56658,53806,255000,1.21
A,51428,72451,264000,1.18
A,93200,11121,422000,1.04
A,76125,78172,290000,1.14
A,54360,61934,237000,1.10
A,65376,34458,286500,1.43
A,42400,15046,202500,1.29
A,40800,92606,168000,1.26
A,8996,5864,305900,0.97
A,2170,22786,375000,1.15
A,24637,90598,169900,1.47
A,30600,80858,135000,1.21
A,44730,99047,176000,1.22
A,50563,92615,176500,1.23
A,40128,713,179500,1.27
A,48112,13269,199500,1.24
A,66429,17771,205000,1.11
A,54077,21848,205000,1.17
A,43494,13757,189000,1.20
A,55792,21736,180800,1.02
A,48000,3289,175000,1.16
A,62291,2857,173000,1.05
A,53878,4768,174900,1.10
A,50275,12207,202500,1.25
A,49306,1420,171100,1.14
A,42742,82397,139000,1.11
A,36454,92442,145000,1.12
A,30720,85244,138000,1.19
A,30602,82498,128500,1.14
A,30720,87738,145000,1.22
A,31270,79233,125000,1.13
A,31270,85479,162000,1.39
A,48979,5946,190000,1.23
A,49974,41493,182000,0.95
A,25200,79938,130500,1.24
B,14861,59258,74900,1.01
B,14976,48957,57300,0.90
B,13440,41177,61000,1.12
B,45765,81227,440000,1.94
B,15244,55169,87500,1.24
B,18260,59267,82000,1.06
B,16680,55525,78000,1.08
B,16680,72867,99500,1.11
B,17020,61935,93000,1.18
B,53421,19792,175000,1.01
B,31417,99413,185000,1.41
B,32311,75343,123000,1.14
B,26817,78726,108000,1.02
B,25751,82259,110000,1.02
B,25751,64568,100500,1.11
B,24564,66533,108000,1.19
B,24564,71149,112900,1.18
B,27640,85347,106000,0.94
B,29656,78968,147500,1.36
B,37720,63785,96000,0.95
B,27554,77837,132000,1.25
B,29900,85451,114000,0.99
B,57446,21702,145000,0.81
B,46589,99862,155000,1.06
B,46863,16059,93000,0.57
B,27636,5596,140000,1.05
B,68270,4022,196000,1.14
B,48325,80974,198000,0.86
B,43165,89063,134800,1.02
B,40656,4673,172000,1.18
B,32017,81717,98500,0.87
B,19911,91286,110000,0.99
B,19256,92299,112000,1.00
B,19475,93133,114000,1.01
B,19670,67559,99000,1.13
B,54506,25062,164500,0.92
B,13825,60319,88000,1.19
B,12960,56778,79000,1.13
B,19289,83953,118500,1.15
B,14171,78234,92000,1.00
B,14868,72621,105000,1.20
B,15000,99392,112900,0.99
B,14420,65163,87900,1.10
B,19920,56605,75000,0.98
B,14103,49616,77500,1.22
B,14623,49616,82700,1.29
B,14171,55354,80500,1.16
B,16286,59846,85500,1.12
B,16288,58046,96000,1.29
B,14111,51100,84400,1.29
B,18039,74920,114000,1.23
B,14700,71989,113000,1.30
B,17500,72090,115000,1.28
B,22656,91701,164000,1.43
B,16975,68936,128000,1.49
B,17325,69265,135000,1.56
B,17500,79493,133000,1.37
B,18191,92708,134900,1.22
B,30388,88946,145000,1.22
B,17325,97991,139000,1.21
B,17807,6152,147200,1.19
B,18431,84099,143300,1.40
B,24522,98733,134300,1.09
B,20098,96149,139000,1.20
B,20701,85513,113000,1.06
B,22770,85812,112800,1.04
B,23460,83276,122000,1.14
B,20098,85446,120000,1.14
B,20852,86394,122500,1.14
B,22425,96828,127500,1.07
B,20852,85701,137000,1.29
B,22194,87696,133000,1.21
B,22194,86457,137000,1.26
B,22194,96214,134900,1.14
B,22194,11917,150000,1.12
B,22194,95211,135000,1.15
B,26611,9695,170000,1.25
B,28270,5166,210000,1.57
B,28077,16925,167000,1.15
B,32041,19129,190000,1.26
B,29553,89361,151000,1.27
B,30455,88315,155000,1.31
B,28274,91797,145000,1.21
B,30138,6410,161900,1.19
B,50000,13504,185000,1.13
B,52479,26092,197000,1.10
B,42263,6334,170000,1.14
B,40068,86171,144000,1.14
B,40241,9908,161000,1.07
B,31918,71157,96900,0.94
B,30608,88669,127500,1.07
B,30513,79839,94000,0.85
B,31310,96018,132000,1.04
B,27636,10295,163900,1.19
B,25166,30412,162500,1.04
B,26614,64815,97000,1.06
B,26614,81469,105000,0.97
B,36173,92463,111000,0.86
B,28839,95959,139000,1.11
B,33922,86714,120000,0.99
B,30542,2462,169900,1.28
B,32456,37480,165000,0.97
B,40772,25884,199500,1.20
B,44006,13616,175000,1.11
B,30316,84901,143000,1.24
B,26512,2793,158000,1.22
B,29172,90410,141000,1.18
B,30130,85409,129900,1.12
B,31900,87743,134000,1.12
B,26695,90051,130000,1.11
B,31463,68367,88000,0.88
B,26695,87198,46600,0.41
B,26695,80639,120000,1.12
B,26695,66207,92000,0.99
B,37290,72782,126900,1.15
B,26695,70197,115000,1.19
B,26695,71524,105000,1.07
B,16256,72639,109500,1.23
B,18933,75945,111500,1.18
B,17368,64696,105000,1.28
B,16256,74116,116000,1.28
B,31941,90129,125000,1.02
B,31472,83887,126000,1.09
B,28634,76439,129900,1.24
B,19066,67481,96000,1.11
B,15060,78809,138500,1.48
B,16762,89293,135000,1.27
B,17963,81211,126800,1.28
B,18248,77937,115900,1.20
B,29488,18532,198900,1.34
B,29100,3616,177000,1.33
B,29100,23120,177000,1.16
B,29700,25458,183300,1.18
B,30575,16329,210000,1.43
B,26209,21506,199000,1.35
B,30279,24335,187500,1.21
B,32855,10064,189000,1.32
B,32693,10918,181000,1.26
B,31680,97940,173500,1.34
B,31680,99015,192000,1.47
B,37322,8739,176500,1.21
B,18605,60189,95800,1.22
B,16632,40914,63200,1.10
B,19341,50854,72500,1.03
B,14280,46517,73900,1.22
B,13709,49482,74000,1.17
B,15953,43461,64500,1.09
B,13709,48792,65900,1.05
B,15953,45254,50500,0.83
B,13709,36734,63900,1.27
B,13709,35258,54900,1.12
B,16255,40258,63000,1.11
B,20265,51613,65000,0.90
B,17234,55620,76500,1.05
B,14100,53448,68100,1.01
B,15540,41402,64000,1.12
B,13709,50727,69900,1.08
B,13709,46705,61000,1.01
B,13138,48073,70000,1.14
B,13709,42778,69500,1.23
B,17645,47811,74900,1.14
B,14296,50217,64000,0.99
B,17626,52302,65500,0.94
B,15060,33661,54500,1.12
B,19492,42154,60000,0.97
B,15060,54689,57700,0.83
B,15060,58842,81000,1.10
B,15471,44885,60600,1.00
B,15667,45291,67900,1.11
B,17234,63007,84000,1.05
B,18403,52597,75000,1.06
B,14137,39840,63500,1.18
B,12432,34935,55000,1.16
B,11914,31264,39200,0.91
B,11914,33828,55400,1.21
B,12687,44603,65900,1.15
B,12254,32371,54800,1.23
B,14741,31760,53900,1.16
B,11914,31264,53700,1.24
B,11914,36223,60000,1.25
B,12950,31264,51500,1.16
B,12821,51019,74500,1.17
B,12562,32950,54300,1.19
B,13776,54676,73000,1.07
B,13776,54554,77000,1.13
B,11914,35929,56700,1.19
B,14030,44767,69900,1.19
B,13320,35929,56400,1.15
B,13320,31891,55900,1.24
B,13320,37972,65300,1.27
B,12432,31231,52000,1.19
B,11914,33216,55000,1.22
B,41392,21288,191000,1.17
B,45255,27879,190000,1.10
B,46117,14159,151000,0.94
B,48604,93236,161000,1.14
B,47970,19452,187500,1.12
B,35665,91206,125000,0.99
B,24864,99186,121500,0.98
B,24592,77232,110000,1.08
B,24095,76651,119900,1.19
B,24429,86087,121500,1.10
B,25979,76003,105000,1.03
B,35528,84588,123500,1.03
B,24095,79354,65000,0.63
B,61005,52168,270000,1.27
B,55765,66615,305000,1.37
B,61530,40913,260000,1.28
B,49298,18926,230000,1.37
B,47250,91666,320000,1.34
B,47250,33593,288000,1.59
B,57173,18211,206000,1.17
B,42225,11619,172500,1.12
B,38784,11499,202500,1.35
B,39923,37288,215000,1.21
B,49920,48259,240000,1.21
B,41608,17845,187500,1.18
B,37071,24209,220000,1.36
B,43306,21090,195000,1.19
B,42016,42654,235000,1.27
B,39865,41774,229000,1.26
B,33465,85570,151000,1.27
B,18975,23336,68000,1.61
B,9488,31234,34300,0.84
B,33492,26307,190000,1.19
B,33820,8068,171900,1.21
B,33492,17640,192500,1.27
B,33820,9959,187000,1.30
B,33820,12340,183000,1.25
B,33492,24188,208000,1.32
B,12960,28189,55000,1.34
B,7016,24766,34900,1.10
B,7016,24766,30000,0.94
B,7167,23082,30000,0.99
B,8719,32774,48000,1.16
B,6560,34148,48909,1.20
B,8800,37678,46000,0.99
B,6900,25316,30000,0.93
B,6900,19445,23000,0.87
B,6836,19445,35900,1.37
B,7080,24584,42000,1.33
B,8757,37399,45000,0.97
B,6847,23082,35500,1.19
B,6918,23700,31000,1.01
B,26775,71324,97000,0.99
B,28485,96686,132000,1.05
B,23227,87343,138800,1.26
B,20808,93632,133000,1.16
B,21948,65547,96500,1.10
B,20624,72357,107000,1.15
B,22440,75004,123500,1.27
B,24710,6587,139000,1.06
B,23162,23422,165000,1.13
B,25481,98278,155000,1.25
B,23409,75700,124500,1.26
B,27043,96286,126000,1.02
B,22262,69827,107500,1.17
B,20050,72965,117000,1.26
B,20050,84233,116000,1.11
B,20050,80734,113000,1.12
B,20050,61225,98000,1.21
B,20821,79466,102000,1.02
B,19152,2811,137500,1.13
B,21412,75812,111000,1.14
B,19732,84260,125300,1.20
B,23202,97729,122000,1.01
B,10580,15139,29900,1.16
B,10580,25599,45000,1.24
B,14350,57670,78900,1.10
B,14838,92368,130000,1.21
B,14494,79407,118000,1.26
B,15088,53150,90900,1.33
B,15088,79752,101300,1.07
B,15088,58121,50000,0.68
B,15088,59014,82000,1.11
B,14975,53150,80000,1.17
B,15277,51888,81000,1.21
B,15632,58554,73500,0.99
B,17558,55372,83000,1.14
B,37224,93145,113500,0.87
B,25027,96370,146500,1.21
B,26331,78907,193000,0.94
B,24288,93114,129900,1.11
B,31677,2747,138000,1.03
B,31853,89381,144000,1.19
B,49688,87105,145000,1.06
B,63400,33354,250000,1.27
B,66444,76504,255000,1.05
B,41663,21690,181000,1.11
B,53932,97009,210000,1.39
B,67468,80079,375000,1.51
B,43600,8861,155000,1.02
B,42181,92693,140000,1.04
B,47725,81460,125500,0.97
B,66238,25658,243000,1.27
B,39353,9995,192000,1.29
B,74804,40319,234900,1.09
B,63478,35345,215000,1.08
B,44067,11003,160000,1.03
B,51469,92523,220000,0.90
B,58375,2895,167000,1.04
B,54398,26121,174000,0.96
B,55300,52996,445000,1.44
B,43316,5036,183000,1.23
B,85065,22247,250000,1.21
B,44179,28280,192500,1.12
B,46433,9169,170000,1.09
B,28280,79959,75600,0.70
B,19082,71387,112500,1.24
B,15101,61489,92500,1.21
B,27221,93096,135000,1.12
B,26954,6460,160000,1.20
B,27488,96298,142500,1.15
B,30724,11907,187500,1.31
B,27377,9883,160000,1.17
B,29573,60755,95000,1.05
B,27017,4312,167000,1.27
B,28274,1121,182000,1.41
B,46800,24364,172100,1.01
C,22922,89618,180000,1.60
C,11891,76590,75600,0.85
C,11550,32897,35300,0.79
C,29441,70548,108000,1.08
C,33072,63587,119000,1.23
C,43987,13316,57500,1.00
C,24840,47068,60000,0.83
C,21563,55489,90000,1.17
C,15435,70309,105000,1.22
C,40250,52022,109000,1.18
C,16433,83880,120000,1.20
C,17976,77126,120000,1.26
C,15340,85552,118000,1.17
C,15115,79174,113000,1.20
C,15529,97910,131000,1.15
C,15444,90852,131000,1.23
C,15115,89224,117500,1.13
C,15400,94057,115000,1.05
C,14366,78432,115000,1.24
C,13989,91427,123900,1.18
C,17560,98445,140000,1.21
C,15744,78001,107000,1.14
C,14563,18788,130000,0.97
C,9639,52815,86500,1.39
C,8526,47166,69000,1.24
C,8036,7685,16300,1.04
C,10049,48042,80100,1.38
C,10049,39235,73000,1.48
C,10049,39684,73000,1.47
C,12222,52904,87500,1.34
C,8568,51758,79000,1.31
C,8568,43920,75000,1.43
C,8568,18824,25000,0.91
C,20617,4797,167900,1.34
C,15932,38641,85000,1.56
C,3210,14940,15000,0.83
C,11093,43812,85000,1.55
C,8027,31802,59000,1.48
C,17399,61850,60000,0.76
C,11588,54358,83500,1.27
C,14100,53629,75000,1.11
C,13110,37017,50000,1.00
C,13110,41305,71700,1.32
C,13110,41305,72700,1.34
C,13110,40104,59900,1.13
C,13110,41088,74600,1.38
C,13110,41305,59000,1.08
C,18066,41305,68000,1.15
C,13358,20215,51900,1.55
C,9108,19031,43000,1.53
C,9715,17344,25700,0.95
C,9715,17164,13000,0.48
C,9108,20944,50000,1.66
C,9412,20413,38200,1.28
C,9306,23672,48000,1.46
C,9108,23295,51900,1.60
C,9108,36110,61900,1.37
C,10626,21500,41500,1.29
C,9108,21195,31100,1.03
C,9108,26892,20000,0.56
C,9412,26706,42600,1.18
C,10488,25980,48500,1.33
C,10488,32121,33600,0.79
C,10488,35069,56900,1.25
C,10488,27706,45900,1.20
C,13433,43484,66000,1.16
C,10488,20189,52900,1.72
C,10389,29016,48000,1.22
C,10948,33672,63500,1.42
C,12043,34651,60000,1.28
C,12784,39271,73400,1.41
C,14744,42222,78500,1.38
C,11186,53061,71200,1.11
C,11186,51104,62800,1.01
C,11543,50381,71600,1.16
C,12799,50607,70100,1.11
C,14300,41136,62500,1.13
C,59660,2000,38500,0.62
C,17940,59417,73500,0.95
C,21420,71848,90000,0.96
C,19354,78948,117000,1.19
C,21218,80688,100000,0.98
C,21218,89179,142000,1.29
C,21218,52156,86000,1.17
C,21726,70897,107000,1.16
C,20800,49959,105000,1.48
C,18216,63915,100000,1.22
C,18216,87754,132500,1.25
C,25200,93291,113000,0.95
C,15840,57291,87800,1.20
C,15840,76668,103700,1.12
C,15520,52186,81500,1.20
C,12288,66301,94000,1.20
C,14400,54180,78000,1.14
C,14356,61877,87300,1.15
C,14208,65575,99000,1.24
C,16694,66357,106000,1.28
C,19002,58738,101000,1.30
C,16000,77063,103000,1.11
C,15840,76668,96900,1.05
C,20098,57495,98000,1.26
C,12072,63580,72700,0.96
C,7760,33495,55000,1.33
C,7760,35672,50500,1.16
C,8832,49534,72000,1.23
C,13248,23522,46700,1.27
C,8832,44934,56900,1.06
C,8832,44751,63500,1.19
C,11040,54078,76000,1.17
C,10304,44686,71900,1.31
C,13248,28385,59000,1.42
C,9568,53854,63200,1.00
C,8832,22792,45000,1.42
C,8832,14452,41500,1.78
C,11200,40855,61500,1.18
C,8832,37964,56000,1.20
C,13260,22082,50400,1.43
C,11271,31644,42700,0.99
C,11271,33769,52800,1.17
C,12432,35727,62000,1.29
C,10506,27868,58000,1.51
C,53744,26865,82500,1.02
C,20000,41414,355000,1.36
C,55000,39955,308000,1.58
C,30000,97502,180000,1.41
C,30000,79635,160000,1.46
C,30000,77774,156000,1.45
C,30000,63337,125000,1.34
C,34650,64754,105900,1.07
C,36036,4448,165300,1.18
C,40810,19912,222000,1.38
C,34823,60012,88000,0.93
C,38115,88999,90000,0.71
C,33605,14317,173000,1.17
C,34650,78908,130000,1.14
C,40946,4824,166000,1.14
C,35000,99911,159000,1.18
C,30408,73209,140000,1.35
C,41923,89390,187000,1.42
C,29948,66055,112000,1.17
C,20286,45921,76000,1.15
C,16151,31405,80000,1.68
C,15651,31766,56500,1.19
C,15651,34471,59000,1.18
C,15651,31320,68000,1.45
C,17195,52068,68300,0.99
C,16369,38124,72500,1.33
C,15863,38165,62500,1.16
C,17343,30957,68000,1.41
C,40838,10400,122000,0.81
C,40838,98945,140500,1.01
C,40838,6442,160000,1.09
C,45000,92872,179900,1.30
C,40500,10470,165000,1.09
C,41663,67106,231000,1.11
C,41663,37019,253500,1.42
C,46406,99954,155000,1.06
C,35343,1934,160000,1.17
C,32670,82042,93000,0.81
C,30561,68052,135000,1.37
C,32100,21478,200000,1.30
C,31615,20872,210000,1.38
C,26500,92568,132500,1.11
C,26008,6729,151000,1.14
C,35226,80288,295000,1.37
C,31719,62014,105000,1.12
C,25338,55726,100000,1.23
C,32010,56429,96000,1.09
C,32909,82257,123900,1.08
C,56417,40046,312000,1.59
C,49578,13123,151900,0.93
C,47723,22599,246000,1.44
C,48195,20115,224000,1.33
C,41852,10269,195000,1.28
C,39015,99450,120600,0.87
C,36720,13004,171000,1.14
C,33120,82148,148500,1.29
C,30360,92164,133000,1.09
C,30360,79451,150000,1.37
C,29700,94833,131500,1.06
C,35700,823,144000,1.05
C,29610,58352,104000,1.18
C,20100,84542,125000,1.19
C,28325,70028,120200,1.22
C,27886,32372,83500,1.39
C,23639,24117,68000,1.42
C,50470,32261,90000,1.09
C,45675,66334,140000,1.25
C,60653,89273,142000,0.95
C,51893,87530,198000,1.42
C,47850,78941,300000,2.37
C,91397,62043,235000,1.53
C,74129,89931,347500,1.32
C,48670,49465,245000,1.24
C,51975,20025,239000,1.39
C,54000,87387,100000,0.71
C,47700,77448,135000,1.08
C,45000,77899,140000,1.14
C,31170,84791,175000,1.51
C,42000,79667,155000,1.27
C,39965,37432,20000,0.26
C,57629,29953,86500,0.99
C,53678,52493,150000,1.41
C,18000,41930,78000,1.30
C,51750,39712,98500,1.08
C,38295,32890,84900,1.19
C,8832,20797,44500,1.50
C,32111,74245,148900,1.40
C,26500,66551,132500,1.42
C,23040,32210,55000,1.00
C,23040,52396,20000,0.27
C,26496,29165,65000,1.17
C,25114,35499,79900,1.32
C,23760,26677,30000,0.59
C,26717,42286,63800,0.92
C,27428,10276,130000,0.94
C,27428,70867,132500,1.35
C,25245,52829,95000,1.22
C,23520,48486,98000,1.36
C,24696,45441,91500,1.30
C,23520,55874,109000,1.37
C,23520,46125,91000,1.31
C,23520,48365,96000,1.34
C,25970,56118,90000,1.10
C,15180,35715,73100,1.44
C,15180,34930,70000,1.40
C,15939,38962,70000,1.28
C,15180,32301,60000,1.26
C,15180,33027,80000,1.66
C,15939,31418,65000,1.37
C,14847,27327,74900,1.78
C,14847,29495,65000,1.47
C,15180,51658,85000,1.27
C,15180,36010,69000,1.35
C,15180,59827,80000,1.07
C,12144,41859,68000,1.26
C,15336,27772,56500,1.31
C,16130,39298,65800,1.19
C,19796,25808,25000,0.55
C,26523,38721,84500,1.30
C,17978,35129,57000,1.07
C,17132,32964,65000,1.30
C,17820,31418,68500,1.39
C,22207,51718,11000,0.15
C,32017,7001,40000,1.03
C,30900,37270,70500,1.03
C,42525,63526,95000,0.90
C,29430,36463,83000,1.26
C,30938,34989,85000,1.29
C,49335,61294,148000,1.34
C,42120,33507,78300,1.04
C,37800,43602,60000,0.74
C,45450,44355,83000,0.92
C,46035,51723,160000,1.64
C,26910,36618,15000,0.24
C,73528,57363,123000,0.94
C,39750,35745,80300,1.06
C,38633,34123,96000,1.32
D,18883,68293,100000,1.15
D,19080,71466,87000,0.96
D,19558,58925,104400,1.33
D,19423,66323,100000,1.17
D,23118,61062,92800,1.10
D,18883,71240,88000,0.98
D,23885,72163,95000,0.99
D,22930,66363,86000,0.96
D,19473,58852,84900,1.08
D,24629,58741,84300,1.01
D,18555,56675,84000,1.12
D,19419,64484,97900,1.17
D,15147,55528,88000,1.25
D,17672,53380,58300,0.82
D,20808,40023,66500,1.09
D,18080,70350,102500,1.16
D,25312,53865,83500,1.05
D,19829,67731,87300,1.00
D,27770,69544,99000,1.02
D,22032,61216,84900,1.02
D,19584,57721,81000,1.05
D,16891,47326,74500,1.16
D,19486,68417,90600,1.03
D,19641,75968,98000,1.03
D,19312,60601,78500,0.98
D,23011,62618,89900,1.05
D,18360,52645,68500,0.96
D,28432,66110,82500,0.87
D,19541,80604,95000,0.95
D,23409,52497,74000,0.97
D,19691,67785,98500,1.13
D,20035,53532,84900,1.15
D,19584,66138,90818,1.06
D,19584,58377,89900,1.15
D,30887,76002,113500,1.06
D,25728,90319,118500,1.02
D,16519,59691,92500,1.21
D,16101,66431,85000,1.03
D,19300,55085,81000,1.09
D,19320,78567,86000,0.88
D,22409,79581,105000,1.03
D,19339,92928,112300,1.00
D,19799,57624,82500,1.07
D,18850,63401,82000,1.00
D,21978,91140,115000,1.02
D,21770,57933,87000,1.09
D,33048,66432,97500,0.98
D,28416,86777,110500,0.96
D,31450,97357,171500,1.33
D,29896,90721,140000,1.16
D,27592,60747,99000,1.12
D,55932,40924,243800,1.24
D,35501,7068,177800,1.25
D,30192,66919,239900,1.22
D,39397,53645,216500,1.12
D,30153,75980,120000,1.13
D,24887,65681,91000,1.00
D,25097,89630,118000,1.03
D,21321,92020,125500,1.11
D,21883,76287,114900,1.17
D,14550,53431,79900,1.18
D,22176,58656,80000,0.99
D,21483,53489,63000,0.84
D,21455,62617,95000,1.13
D,20984,59435,74500,0.93
D,21380,59714,89500,1.10
D,20560,53907,74900,1.01
D,20268,60455,81000,1.00
D,24918,58981,76100,0.91
D,20375,54221,85000,1.14
D,29896,62297,109000,1.18
D,42636,75215,115000,0.98
D,35788,86089,142000,1.17
D,34644,31430,189900,1.14
D,28861,73059,107900,1.06
D,29896,77303,125000,1.17
D,24276,74913,115500,1.16
D,22877,84293,128000,1.19
D,22725,26422,165000,1.11
D,23361,93968,124600,1.06
D,11303,47262,59000,1.01
D,11283,40767,63500,1.22
D,11967,38882,60000,1.18
D,11220,32955,60500,1.37
D,13980,36494,46909,0.93
D,11893,39085,62900,1.23
D,11730,32393,56900,1.29
D,13207,32655,55000,1.20
D,17735,36494,59000,1.09
D,19719,87151,117700,1.10
D,20571,64956,84000,0.98
D,17533,82195,102500,1.03
D,16560,75399,99900,1.09
D,18584,79027,120000,1.23
D,21883,74377,118500,1.23
D,20045,68444,105000,1.19
D,17443,61207,85000,1.08
D,17002,85444,110500,1.08
D,17002,55224,80400,1.11
D,15456,73764,107500,1.20
D,17917,82034,108000,1.08
D,15456,67726,92182,1.11
D,16560,53889,83900,1.19
D,20628,79916,95000,0.94
D,16100,94973,114500,1.03
D,17710,87051,108000,1.03
D,17250,84268,124600,1.23
D,33324,99167,132536,1.00
D,30030,89146,137000,1.15
D,37145,11152,170000,1.15
D,11753,29714,51900,1.25
D,12100,45415,59000,1.03
D,12100,38266,60200,1.20
D,21948,71851,103300,1.10
D,29030,89021,127000,1.08
D,26972,72474,87400,0.88
D,26885,77655,100000,0.96
D,34927,78537,111500,0.98
D,30866,63395,105000,1.11
D,22694,91417,124000,1.09
D,26523,58900,82500,0.97
D,30492,87704,135000,1.14
D,30492,67596,103000,1.05
D,30492,91651,130500,1.07
D,30029,95149,138000,1.10
D,29876,77456,111900,1.04
D,27713,91220,120000,1.01
D,67573,33916,144000,1.42
D,43125,59066,60000,0.59
D,15401,49539,69900,1.08
D,11270,46895,47100,0.81
D,11270,48195,59200,1.00
D,11270,43842,49600,0.90
D,12529,33099,40000,0.88
D,15474,48195,72900,1.14
D,11431,44682,63900,1.14
D,13937,43842,56031,0.97
D,11270,44710,45000,0.80
D,11270,46895,52900,0.91
D,11270,33099,49900,1.12
D,12075,49973,53000,0.85
D,27770,95662,118000,0.96
D,16000,47963,68300,1.07
D,14490,57805,85000,1.18
D,16682,49215,79000,1.20
D,14490,62867,88500,1.14
D,13748,69400,90000,1.08
D,16316,64056,87000,1.08
D,17421,56099,84900,1.15
D,12163,67915,93500,1.17
D,12938,57642,86000,1.22
D,14490,55990,90000,1.28
D,14490,58664,42000,0.57
D,16000,63782,91800,1.15
D,16223,56367,77900,1.07
D,16000,70912,85900,0.99
D,9266,42289,72800,1.41
D,14663,43811,71000,1.21
D,14720,57659,81000,1.12
D,19530,46424,74000,1.12
D,12950,52390,78000,1.19
D,12901,53177,74900,1.13
D,14209,51172,67200,1.03
D,15650,53468,76500,1.11
D,17010,53177,70000,1.00
D,15869,53644,65600,0.94
D,14501,53177,78500,1.16
D,12768,53012,78200,1.19
D,15936,63499,77500,0.98
D,15996,44475,71400,1.18
D,14410,52487,81000,1.21
D,14410,55835,85000,1.21
D,12768,43608,70800,1.26
D,12768,43221,71500,1.28
D,14468,50555,78000,1.20
D,12768,47682,76100,1.26
